DOI,year,donor,donor_smiles,donor_coreferents,fullerene_acceptor,acceptor,acceptor_smiles,acceptor_coreferents,power conversion efficiency,open circuit voltage,short circuit current,fill factor,property_metadata
10.1021/ma101878w,2010.97808219178,"6,6)-phenyl-C_{71}-butyric aci",,[],1,PC_{71}BM,,['PC_{71}BM'],"=""1.5 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiencies"", ""entity_start"": 177, ""entity_end"": 179, ""property_value_start"": 181, ""property_value_end"": 182, ""property_numeric_value"": 1.5, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma501078e,2014.58082191781,BDTC,,[],1,PC_{70}BM,,['PC_{70}BM'],"=""3.03 %""",,"=""12.54 mA cm^{-2}""",,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 180, ""entity_end"": 182, ""property_value_start"": 190, ""property_value_end"": 191, ""property_numeric_value"": 3.03, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {""entity_name"": ""short-circuit current density"", ""entity_start"": 193, ""entity_end"": 197, ""property_value_start"": 199, ""property_value_end"": 202, ""property_numeric_value"": 12.54, ""property_unit"": ""mA cm^{-2}"", ""property_value_descriptor"": """"}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {""entity_name"": ""E_{g}"", ""entity_start"": 59, ""entity_end"": 60, ""property_value_start"": 63, ""property_value_end"": 64, ""property_numeric_value"": 1.5, ""property_unit"": ""eV"", ""property_value_descriptor"": """"}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma501078e,2014.58082191781,"2,5-distannylthieno[3,4-b]thiophene",,[],1,PC_{70}BM,,['PC_{70}BM'],,"=""0.51 V""",,"=""0.48""","{""power conversion efficiency"": {}, ""open circuit voltage"": {""entity_name"": ""open circuit voltage"", ""entity_start"": 210, ""entity_end"": 212, ""property_value_start"": 214, ""property_value_end"": 215, ""property_numeric_value"": 0.51, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {}, ""fill factor"": {""entity_name"": ""fill factor"", ""entity_start"": 204, ""entity_end"": 205, ""property_value_start"": 207, ""property_value_end"": 207, ""property_numeric_value"": 48.0, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma5001282,2014.15890410959,P3HT,[*]C1C=C(CCCCCC)C([*])S1,['P3HT'],1,PC_{71}BM,,['PC_{71}BM'],"=""7.49 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 175, ""entity_end"": 175, ""property_value_start"": 177, ""property_value_end"": 178, ""property_numeric_value"": 7.49, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma500417r,2014.49589041096,P-1a,,"['P-1a', 'P-1c']",1,PC_{71}BM,,['PC_{71}BM'],"=""6.41 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 191, ""entity_end"": 191, ""property_value_start"": 194, ""property_value_end"": 195, ""property_numeric_value"": 6.41, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {""entity_name"": ""hole mobility"", ""entity_start"": 150, ""entity_end"": 151, ""property_value_start"": 154, ""property_value_end"": 162, ""property_numeric_value"": 0.013600000000000001, ""property_unit"": ""cm^{2} V^{-1} s^{-1}"", ""property_value_descriptor"": """"}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma500417r,2014.49589041096,P-1b,,['P-1b'],1,PC_{71}BM,,['PC_{71}BM'],,"=""0.98 V""",,,"{""power conversion efficiency"": {}, ""open circuit voltage"": {""entity_name"": ""V_{oc}"", ""entity_start"": 172, ""entity_end"": 173, ""property_value_start"": 176, ""property_value_end"": 177, ""property_numeric_value"": 0.98, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma500250j,2014.4602739726,PDEHTT,,['PDEHTT'],1,PC_{71}BM,,['PC_{71}BM'],"=""< 2.4 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 184, ""entity_end"": 186, ""property_value_start"": 188, ""property_value_end"": 190, ""property_numeric_value"": 2.4, ""property_unit"": ""%"", ""property_value_descriptor"": ""<""}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {""entity_name"": ""optical band gap"", ""entity_start"": 77, ""entity_end"": 79, ""property_value_start"": 81, ""property_value_end"": 84, ""property_numeric_value"": 1.9500000000000002, ""property_unit"": ""eV"", ""property_value_descriptor"": ""-""}, ""hole mobility"": {""entity_name"": ""field-effect hole mobilities"", ""entity_start"": 150, ""entity_end"": 154, ""property_value_start"": 156, ""property_value_end"": 164, ""property_numeric_value"": -0.013999999999999999, ""property_unit"": ""cm^{2}(V s)"", ""property_value_descriptor"": """"}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/acs.macromol.7b02676,2018.21643835616,PBDFS-fBz,,['PBDFS-fBz'],0,ITIC,CCCCCCc%15ccc(C7(c1ccc(CCCCCC)cc1)c2cc%10c(cc2c6sc5cc(C=c4c(=O)c3ccccc3c4=C(C#N)C#N)sc5c67)C(c8ccc(CCCCCC)cc8)(c9ccc(CCCCCC)cc9)c%13c%10sc%14cc(C=c%12c(=O)c%11ccccc%11c%12=C(C#N)C#N)sc%13%14)cc%15,['ITIC'],,"=""0.82 V""","=""15.26 mA cm^{-2}""","=""67.0 %""","{""power conversion efficiency"": {}, ""open circuit voltage"": {""entity_name"": ""V_{oc}"", ""entity_start"": 165, ""entity_end"": 166, ""property_value_start"": 168, ""property_value_end"": 169, ""property_numeric_value"": 0.82, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {""entity_name"": ""J_{sc}"", ""entity_start"": 215, ""entity_end"": 216, ""property_value_start"": 218, ""property_value_end"": 221, ""property_numeric_value"": 15.26, ""property_unit"": ""mA cm^{-2}"", ""property_value_descriptor"": """"}, ""fill factor"": {""entity_name"": ""FF"", ""entity_start"": 225, ""entity_end"": 225, ""property_value_start"": 227, ""property_value_end"": 228, ""property_numeric_value"": 67.0, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""highest occupied molecular orbital"": {""entity_name"": ""HOMO energy level"", ""entity_start"": 106, ""entity_end"": 108, ""property_value_start"": 123, ""property_value_end"": 124, ""property_numeric_value"": -5.45, ""property_unit"": ""eV"", ""property_value_descriptor"": """"}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {""entity_name"": ""bandgaps"", ""entity_start"": 100, ""entity_end"": 100, ""property_value_start"": 102, ""property_value_end"": 103, ""property_numeric_value"": 1.88, ""property_unit"": ""eV"", ""property_value_descriptor"": ""~""}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/acs.macromol.7b02676,2018.21643835616,PBDFS-Bz,,['PBDFS-Bz'],0,ITIC,CCCCCCc%15ccc(C7(c1ccc(CCCCCC)cc1)c2cc%10c(cc2c6sc5cc(C=c4c(=O)c3ccccc3c4=C(C#N)C#N)sc5c67)C(c8ccc(CCCCCC)cc8)(c9ccc(CCCCCC)cc9)c%13c%10sc%14cc(C=c%12c(=O)c%11ccccc%11c%12=C(C#N)C#N)sc%13%14)cc%15,['ITIC'],"=""9.00 %""","=""0.88 V""",,"=""65 %""","{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 201, ""entity_end"": 201, ""property_value_start"": 203, ""property_value_end"": 204, ""property_numeric_value"": 9.0, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {""entity_name"": ""V_{oc}"", ""entity_start"": 208, ""entity_end"": 209, ""property_value_start"": 211, ""property_value_end"": 212, ""property_numeric_value"": 0.88, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {}, ""fill factor"": {""entity_name"": ""FF"", ""entity_start"": 182, ""entity_end"": 182, ""property_value_start"": 184, ""property_value_end"": 185, ""property_numeric_value"": 65.0, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/acs.macromol.9b00484,2019.44109589041,J71,[*]c9ccc(c7c(F)c(F)c(c6ccc(c5cc4c(c1ccc([Si](CCC)(CCC)CCC)s1)c2sc([*])cc2c(c3ccc([Si](CCC)(CCC)CCC)s3)c4s5)s6)c8nn(CC(CCCCCC)CCCCCCCC)nc78)s9,"['J75', 'J71', 'J71-based']",1,PC_{71}BM,,['PC_{71}BM'],"=""11.73 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 232, ""entity_end"": 232, ""property_value_start"": 234, ""property_value_end"": 235, ""property_numeric_value"": 11.73, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/acs.macromol.9b00484,2019.44109589041,J76,[*]c9ccc(c7c(F)c(F)c(c6ccc(c5cc4c(c1ccc([Si](CCC)(CCC)CCC)s1)c2sc([*])cc2c(c3ccc([Si](CCC)(CCC)CCC)s3)c4s5)s6)c8nn(CC(CCCCCC)CCCCCCCC)nc78)s9,"['J76', 'J76-based', 'J71', 'J71-based']",1,PC_{71}BM,,['PC_{71}BM'],"=""6.79 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 167, ""entity_end"": 167, ""property_value_start"": 169, ""property_value_end"": 170, ""property_numeric_value"": 6.79, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/acs.macromol.9b00682,2019.44931506849,PffBB-n,,['PffBB-n'],1,PC_{71}BM,,['PC_{71}BM'],"=""8.22 to 9.93 %""","=""0.92 V""",,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 220, ""entity_end"": 220, ""property_value_start"": 224, ""property_value_end"": 227, ""property_numeric_value"": 9.075, ""property_unit"": ""%"", ""property_value_descriptor"": ""to""}, ""open circuit voltage"": {""entity_name"": ""V_{oc}"", ""entity_start"": 276, ""entity_end"": 277, ""property_value_start"": 279, ""property_value_end"": 280, ""property_numeric_value"": 0.92, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {""entity_name"": ""optical band gap"", ""entity_start"": 129, ""entity_end"": 131, ""property_value_start"": 133, ""property_value_end"": 134, ""property_numeric_value"": 1.6, ""property_unit"": ""eV"", ""property_value_descriptor"": ""~""}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/acs.macromol.9b00682,2019.44931506849,PffBB-14,,"['PffBB-14', 'PffBB-14-based']",1,PC_{71}BM,,['PC_{71}BM'],"=""9.93 %""",,"=""16.77 mA cm^{-2}""","=""64.36 %""","{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 270, ""entity_end"": 270, ""property_value_start"": 272, ""property_value_end"": 273, ""property_numeric_value"": 9.93, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {""entity_name"": ""J_{sc}"", ""entity_start"": 283, ""entity_end"": 284, ""property_value_start"": 286, ""property_value_end"": 289, ""property_numeric_value"": 16.77, ""property_unit"": ""mA cm^{-2}"", ""property_value_descriptor"": """"}, ""fill factor"": {""entity_name"": ""FF"", ""entity_start"": 293, ""entity_end"": 293, ""property_value_start"": 295, ""property_value_end"": 296, ""property_numeric_value"": 64.36, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/acs.macromol.8b00326,2018.25479452055,HFAQx-T,[*]c%11ccc(c9c(F)c(F)c(c6ccc(c5cc4c(c1ccc(CC(CC)CCCC)s1)c2sc([*])cc2c(c3ccc(CC(CC)CCCC)s3)c4s5)s6)c%10nc(c7cc(F)c(CC(CC)CCCC)c(F)c7)c(c8cc(F)c(CC(CC)CCCC)c(F)c8)nc9%10)s%11,['HFAQx-T'],1,PC_{71}BM,,['PC_{71}BM'],"=""9.6 %""","=""0.9 V""","=""14.0 mA cm^{-2}""","=""0.74""","{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 202, ""entity_end"": 202, ""property_value_start"": 204, ""property_value_end"": 205, ""property_numeric_value"": 9.6, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {""entity_name"": ""V_{oc}"", ""entity_start"": 150, ""entity_end"": 151, ""property_value_start"": 154, ""property_value_end"": 155, ""property_numeric_value"": 0.9, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {""entity_name"": ""J_{sc}"", ""entity_start"": 162, ""entity_end"": 163, ""property_value_start"": 166, ""property_value_end"": 169, ""property_numeric_value"": 14.0, ""property_unit"": ""mA cm^{-2}"", ""property_value_descriptor"": """"}, ""fill factor"": {""entity_name"": ""FF"", ""entity_start"": 176, ""entity_end"": 176, ""property_value_start"": 179, ""property_value_end"": 179, ""property_numeric_value"": 74.0, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma400257q,2013.35342465753,"N-octyl-2,7-dithia-5-azacyclopenta[a]pentalene-4,6-dione",,[],1,PC_{70}BM,,['PC_{70}BM'],"=""4.7 %""",,"=""10.6 mA/cm^{2}""",,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 155, ""entity_end"": 155, ""property_value_start"": 157, ""property_value_end"": 158, ""property_numeric_value"": 4.7, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {""entity_name"": ""J_{sc}"", ""entity_start"": 168, ""entity_end"": 169, ""property_value_start"": 171, ""property_value_end"": 175, ""property_numeric_value"": 10.6, ""property_unit"": ""mA/cm^{2}"", ""property_value_descriptor"": """"}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma400257q,2013.35342465753,DTPD,,[],1,PC_{70}BM,,['PC_{70}BM'],"=""5.3 %""","=""0.70 V""",,"=""0.54""","{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 189, ""entity_end"": 189, ""property_value_start"": 191, ""property_value_end"": 192, ""property_numeric_value"": 5.3, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {""entity_name"": ""V_{oc}"", ""entity_start"": 161, ""entity_end"": 162, ""property_value_start"": 164, ""property_value_end"": 165, ""property_numeric_value"": 0.7, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {}, ""fill factor"": {""entity_name"": ""FF"", ""entity_start"": 213, ""entity_end"": 213, ""property_value_start"": 215, ""property_value_end"": 215, ""property_numeric_value"": 54.0, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma400257q,2013.35342465753,POBDTPD,,['POBDTPD'],1,PC_{70}BM,,['PC_{70}BM'],,"=""0.72 V""","=""13.5 mA/cm^{2}""","=""0.64""","{""power conversion efficiency"": {}, ""open circuit voltage"": {""entity_name"": ""V_{oc}"", ""entity_start"": 195, ""entity_end"": 196, ""property_value_start"": 198, ""property_value_end"": 199, ""property_numeric_value"": 0.72, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {""entity_name"": ""J_{sc}"", ""entity_start"": 202, ""entity_end"": 203, ""property_value_start"": 205, ""property_value_end"": 209, ""property_numeric_value"": 13.5, ""property_unit"": ""mA/cm^{2}"", ""property_value_descriptor"": """"}, ""fill factor"": {""entity_name"": ""FF"", ""entity_start"": 179, ""entity_end"": 179, ""property_value_start"": 181, ""property_value_end"": 181, ""property_numeric_value"": 64.0, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma300839c,2012.5698630137,PSiFDCTBT,,['PSiFDCTBT'],1,PC_{61}BM,,['PC_{61}BM'],"=""4.2 %""","=""0.86 V""","=""8.8 mA/cm^{2}""","=""56 %""","{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 111, ""entity_end"": 111, ""property_value_start"": 113, ""property_value_end"": 114, ""property_numeric_value"": 4.2, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {""entity_name"": ""V_{oc}"", ""entity_start"": 87, ""entity_end"": 88, ""property_value_start"": 90, ""property_value_end"": 91, ""property_numeric_value"": 0.86, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {""entity_name"": ""J_{sc}"", ""entity_start"": 94, ""entity_end"": 95, ""property_value_start"": 97, ""property_value_end"": 101, ""property_numeric_value"": 8.8, ""property_unit"": ""mA/cm^{2}"", ""property_value_descriptor"": """"}, ""fill factor"": {""entity_name"": ""FF"", ""entity_start"": 104, ""entity_end"": 104, ""property_value_start"": 106, ""property_value_end"": 107, ""property_numeric_value"": 56.0, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma202712r,2012.15068493151,PSS,O=S(=O)(O)c1ccc(C(C[*])[*])cc1,['PSS'],1,PC_{71}BM,,['PC_{71}BM'],"=""3.16 %""","=""0.81 V""","=""9.61 mA/cm^{2}""","=""41 %""","{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 226, ""entity_end"": 228, ""property_value_start"": 230, ""property_value_end"": 231, ""property_numeric_value"": 3.16, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {""entity_name"": ""open circuit voltage"", ""entity_start"": 246, ""entity_end"": 248, ""property_value_start"": 250, ""property_value_end"": 251, ""property_numeric_value"": 0.81, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {""entity_name"": ""short circuit current density"", ""entity_start"": 235, ""entity_end"": 238, ""property_value_start"": 240, ""property_value_end"": 244, ""property_numeric_value"": 9.61, ""property_unit"": ""mA/cm^{2}"", ""property_value_descriptor"": """"}, ""fill factor"": {""entity_name"": ""fill factor"", ""entity_start"": 254, ""entity_end"": 255, ""property_value_start"": 257, ""property_value_end"": 258, ""property_numeric_value"": 41.0, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma401709r,2013.92054794521,FBT)-base,,[],1,PC71BM,,['PC71BM'],"=""6 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 95, ""entity_end"": 97, ""property_value_start"": 100, ""property_value_end"": 101, ""property_numeric_value"": 6.0, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/acs.macromol.6b01566,2016.8,PTB7-Th,[*]c7cc6c(c1ccc(CC(CC)CCCC)s1)c4sc(c2sc([*])c3sc(C(=O)OCC(CC)CCCC)c(F)c23)cc4c(c5ccc(CC(CC)CCCC)s5)c6s7,['PTB7-Th'],0,NDI-Th-PDI30,,['NDI-Th-PDI30'],"=""5.03 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 194, ""entity_end"": 194, ""property_value_start"": 196, ""property_value_end"": 197, ""property_numeric_value"": 5.03, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {""entity_name"": ""electron mobility"", ""entity_start"": 278, ""entity_end"": 279, ""property_value_start"": 286, ""property_value_end"": 292, ""property_numeric_value"": 0.00015000000000000001, ""property_unit"": ""cm^{2}(V s)"", ""property_value_descriptor"": """"}, ""external quantum efficiency"": {}}"
10.1021/acs.macromol.8b02360,2018.97260273973,2TC-TT-BDTFT,,['2TC-TT-BDTFT'],0,m-ITIC,,['m-ITIC'],"=""9.65 %""",,,"=""59.31 %""","{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 259, ""entity_end"": 259, ""property_value_start"": 261, ""property_value_end"": 262, ""property_numeric_value"": 9.65, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {""entity_name"": ""FF"", ""entity_start"": 264, ""entity_end"": 264, ""property_value_start"": 266, ""property_value_end"": 267, ""property_numeric_value"": 59.31, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/acs.macromol.8b02360,2018.97260273973,2T-TTC-BDTFT,,['2T-TTC-BDTFT'],0,m-ITIC,,['m-ITIC'],,,,"=""~70 %""","{""power conversion efficiency"": {}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {""entity_name"": ""FF"", ""entity_start"": 237, ""entity_end"": 237, ""property_value_start"": 240, ""property_value_end"": 241, ""property_numeric_value"": 70.0, ""property_unit"": ""%"", ""property_value_descriptor"": ""~""}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma501720k,2014.76712328767,PBDTSTBO,,"['PBDTSTBO', 'PBDTSTBS', 'PBDTSSBO']",1,PC_{71}BM,,['PC_{71}BM'],"=""7.6 %""","=""0.86 V""",,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 262, ""entity_end"": 264, ""property_value_start"": 266, ""property_value_end"": 267, ""property_numeric_value"": 7.6, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {""entity_name"": ""open-circuit voltages"", ""entity_start"": 238, ""entity_end"": 241, ""property_value_start"": 245, ""property_value_end"": 246, ""property_numeric_value"": 0.86, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma501720k,2014.76712328767,BDT,,[],1,PC_{71}BM,,['PC_{71}BM'],"=""7.6 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCEs"", ""entity_start"": 177, ""entity_end"": 177, ""property_value_start"": 186, ""property_value_end"": 187, ""property_numeric_value"": 7.6, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma5010875,2014.78356164384,P1,,['P1'],1,PC_{71}BM,,[],"=""7.14 %""","=""0.91 V""",,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 298, ""entity_end"": 298, ""property_value_start"": 308, ""property_value_end"": 309, ""property_numeric_value"": 7.14, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {""entity_name"": ""V_{oc}"", ""entity_start"": 233, ""entity_end"": 234, ""property_value_start"": 237, ""property_value_end"": 238, ""property_numeric_value"": 0.91, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1021/ma5010875,2014.78356164384,P2,,['P2'],1,PC_{71}BM,,[],"=""1.82 %""","=""0.71 V""",,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 315, ""entity_end"": 315, ""property_value_start"": 325, ""property_value_end"": 326, ""property_numeric_value"": 1.82, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {""entity_name"": ""V_{oc}"", ""entity_start"": 255, ""entity_end"": 256, ""property_value_start"": 258, ""property_value_end"": 259, ""property_numeric_value"": 0.71, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
